Variety,variety2,Clade,agerank,agerank2,agerank3,Nutrient,soil,rep,sample_ID,sunlight,Notes:,tuber,tuber2,tuber3,root,dry_tuber
Cor C.56-16,Cor C56,chil,3,3,2,High,Hancock,4,143,2,,82.8,82.8,82.8,11.04,28.60187145
Cor C.56-17,Cor C56,chil,3,3,2,Low,Virgin,1,130,2,,47.77,47.77,47.77,2.75,16.5013454
Cor C.56-18,Cor C56,chil,3,3,2,Low,Virgin,2,81,1,,30.2,30.2,30.2,1.92,14.85
Cor C.56-19,Cor C56,chil,3,3,2,Low,Virgin,3,315,4,,72.15,72.15,72.15,4.31,24.92300755
Cor C.56-2,Cor C56,chil,3,3,2,Low,Sterile,2,378,5,,68.78,68.78,68.78,2.96,23.78
Cor C.56-20,Cor C56,chil,3,3,2,Low,Virgin,4,187,3,,84.02,84.02,84.02,3.81,19.06
Cor C.56-21,Cor C56,chil,3,3,2,High,Virgin,1,328,4,,40.42,40.42,40.42,5.48,13.85
Cor C.56-23,Cor C56,chil,3,3,2,High,Virgin,3,278,4,,76.96,76.96,76.96,5.94,22.83
Cor C.56-24,Cor C56,chil,3,3,2,High,Virgin,4,68,1,,4.19,4.19,4.19,4.59,1.585538526
Cor C.56-4,Cor C56,chil,3,3,2,Low,Sterile,4,138,2,,30.5,30.5,30.5,2.6,15.66
Cor C.56-5,Cor C56,chil,3,3,2,High,Sterile,1,196,3,,74.15,74.15,74.15,7.91,16.36
Cor C.56-6,Cor C56,chil,3,3,2,High,Sterile,2,313,4,,136.07,136.07,136.07,10.1,30.46
Cor C.56-7,Cor C56,chil,3,3,2,High,Sterile,3,154,2,,29.54,29.54,29.54,7.78,9.03
Cor C.56-8,Cor C56,chil,3,3,2,High,Sterile,4,42,1,,20.16,20.16,20.16,7.6,11.52
Cor C.56-9,Cor C56,chil,3,3,2,Low,Hancock,1,406,5,,94.05,94.05,94.05,2.14,25.55
Cor C.95-1,Cor C95,chil,3,3,2,Low,Sterile,1,279,4,,83.4,83.4,83.4,2.84,29.98076739
Cor C.95-10,Cor C95,chil,3,3,2,Low,Hancock,2,175,3,,96.12,96.12,96.12,2.11,19.91
Cor C.95-11,Cor C95,chil,3,3,2,Low,Hancock,3,36,1,Flowering,30.26,30.26,30.26,6.92,10.87791392
Cor C.95-12,Cor C95,chil,3,3,2,Low,Hancock,4,41,1,,,0,0,2.42,0
Cor C.95-13,Cor C95,chil,3,3,2,High,Hancock,1,244,3,,,0,0,16.63,0
Cor C.95-14,Cor C95,chil,3,3,2,High,Hancock,2,266,4,,,0,0,44.26,0
Cor C.95-15,Cor C95,chil,3,3,2,High,Hancock,3,344,5,,,0,32.45,17.06,11.66517868
Cor C.95-16,Cor C95,chil,3,3,2,High,Hancock,4,150,2,,,0,0,28.04,0
Cor C.95-17,Cor C95,chil,3,3,2,Low,Virgin,1,264,3,,59.35,59.35,59.35,1.89,21.33523435
Cor C.95-18,Cor C95,chil,3,3,2,Low,Virgin,2,346,5,,49.96,49.96,49.96,4.2,16.28
Cor C.95-19,Cor C95,chil,3,3,2,Low,Virgin,3,124,2,,59.62,59.62,59.62,2.35,21.43229438
Cor C.95-2,Cor C95,chil,3,3,2,Low,Sterile,2,10,1,,18.35,18.35,18.35,1.12,11.65
Cor C.95-20,Cor C95,chil,3,3,2,Low,Virgin,4,188,3,,116.25,116.25,116.25,6.63,41.78973871
Cor C.95-21,Cor C95,chil,3,3,2,High,Virgin,1,177,3,,,0,0,22.78,0
Cor C.95-22,Cor C95,chil,3,3,2,High,Virgin,2,160,2,Flowering,,0,0,26.14,0
Cor C.95-23,Cor C95,chil,3,3,2,High,Virgin,3,60,1,,,0,0,20.92,0
Cor C.95-24,Cor C95,chil,3,3,2,High,Virgin,4,329,4,,,0,0,9.99,0
Cor C.95-3,Cor C95,chil,3,3,2,Low,Sterile,3,102,2,,45.34,45.34,45.34,3.54,16.2988968
Cor C.95-4,Cor C95,chil,3,3,2,Low,Sterile,4,393,5,,81.54,81.54,81.54,7.73,22.02
Cor C.95-5,Cor C95,chil,3,3,2,High,Sterile,1,59,1,,,0,0,33.02,0
Cor C.95-6,Cor C95,chil,3,3,2,High,Sterile,2,271,4,,,0,0,20.01,0
Cor C.95-7,Cor C95,chil,3,3,2,High,Sterile,3,333,4,,,0,0,13.96,0
Cor C.95-8,Cor C95,chil,3,3,2,High,Sterile,4,251,3,,,0,0,58.72,0
Cor C.95-9,Cor C95,chil,3,3,2,Low,Hancock,1,76,1,,19.64,19.64,19.64,5.19,7.060219083
Garnet-1,Garnet,chil,4,3,1,Low,Sterile,1,38,1,,47.93,47.93,47.93,0.48,17.33
Garnet-10,Garnet,chil,4,3,1,Low,Hancock,2,32,1,,92.08,92.08,92.08,1.08,17.47837443
Garnet-12,Garnet,chil,4,3,1,Low,Hancock,4,201,3,,81.04,81.04,81.04,0.75,15.38279174
Garnet-13,Garnet,chil,4,3,1,High,Hancock,1,157,2,,118.89,118.89,118.89,4.34,22.56737549
Garnet-14,Garnet,chil,4,3,1,High,Hancock,2,311,4,,166.3,166.3,166.3,4.95,24.18
Garnet-15,Garnet,chil,4,3,1,High,Hancock,3,399,5,,,0,136.16,5.06,25.84551978
Garnet-17,Garnet,chil,4,3,1,Low,Virgin,1,20,1,,75.02,75.02,75.02,1.2,13.87
Garnet-18,Garnet,chil,4,3,1,Low,Virgin,2,105,2,,73.13,73.13,73.13,1.3,13.88133712
Garnet-19,Garnet,chil,4,3,1,Low,Virgin,3,115,2,,70.45,70.45,70.45,1.16,16.97
Garnet-2,Garnet,chil,4,3,1,Low,Sterile,2,118,2,,90.73,90.73,90.73,1.22,17.22212111
Garnet-20,Garnet,chil,4,3,1,Low,Virgin,4,336,4,,125.37,125.37,125.37,2,13.72
Garnet-21,Garnet,chil,4,3,1,High,Virgin,1,221,3,,148.48,148.48,148.48,4.08,28.18406858
Garnet-22,Garnet,chil,4,3,1,High,Virgin,2,37,1,,81.77,81.77,81.77,5.41,15.52135835
Garnet-23,Garnet,chil,4,3,1,High,Virgin,3,296,4,,135.28,135.28,135.28,4.96,14.98
Garnet-24,Garnet,chil,4,3,1,High,Virgin,4,163,2,,80.57,80.57,80.57,4.34,15.29357762
Garnet-3,Garnet,chil,4,3,1,Low,Sterile,3,69,1,,45.37,45.37,45.37,0.76,10.08
Garnet-4,Garnet,chil,4,3,1,Low,Sterile,4,394,5,,150.91,150.91,150.91,1.73,28.64532455
Garnet-5,Garnet,chil,4,3,1,High,Sterile,1,348,5,,,0,0,6.27,15.63
Garnet-6,Garnet,chil,4,3,1,High,Sterile,2,360,5,,100.8,100.8,100.8,3.29,10.56
Garnet-7,Garnet,chil,4,3,1,High,Sterile,3,145,2,,99.51,99.51,99.51,1.35,24.12
Garnet-8,Garnet,chil,4,3,1,High,Sterile,4,223,3,,,0,0,10.62,0
Garnet-9,Garnet,chil,4,3,1,Low,Hancock,1,74,1,,85.48,85.48,85.48,0.94,15.04
P. Cacho-1,P. Cacho,chil,3,3,1,Low,Sterile,1,325,4,,90.75,90.75,90.75,2.59,19.17
P. Cacho-10,P. Cacho,chil,3,3,1,Low,Hancock,2,141,2,,100.78,100.78,100.78,0.95,23.28643635
P. Cacho-11,P. Cacho,chil,3,3,1,Low,Hancock,3,359,5,,100.8,100.8,100.8,1.16,24.26
P. Cacho-14,P. Cacho,chil,3,3,1,High,Hancock,2,47,1,,36.78,36.78,36.78,5.4,12.47
P. Cacho-15,P. Cacho,chil,3,3,1,High,Hancock,3,54,1,,50.43,50.43,50.43,8.23,11.65246066
P. Cacho-16,P. Cacho,chil,3,3,1,High,Hancock,4,317,4,,116.85,116.85,116.85,4.18,26.99960397
P. Cacho-19,P. Cacho,chil,3,3,1,Low,Virgin,3,339,5,,118.65,118.65,118.65,1.51,23.81
P. Cacho-2,P. Cacho,chil,3,3,1,Low,Sterile,2,369,5,,102.25,102.25,102.25,1.25,20.86
P. Cacho-20,P. Cacho,chil,3,3,1,Low,Virgin,4,95,1,,86.24,86.24,86.24,2.06,17.52
